Microstate,FEL1000,FER1000,FTL1000,FTR1000,TPL1000,TPR1000
Microstate_1,0.4354089583727515,0.3733770333890024,0.4346093877955612,0.4386369369655225,0.42969751082141666,0.4372605214766673
Microstate_2,0.36307882733674474,0.4286988539247769,0.4279632003781972,0.359487937211868,0.35728235064227043,0.3708049651853792
Microstate_3,0.35858664093874343,0.36962795478553934,0.44439223853196436,0.35510967771810753,0.3567963530801543,0.4458189484939386
Microstate_4,0.34882864157927534,0.34637896679380004,0.3459445579852457,0.4390589084918342,0.35975179668134133,0.35930817445068775
